ID,DATE1,AGE1,GENDER,DQ1,DQ2,DQ3R,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQSCORE1,DATE2,DQ1_2,DQ2_2,DQ3R_2,DQ4_2,DQ5_2,DQ6_2,DQ7_2,DQ8_2,DQ9_2,DQ10_2,DQ11_2,DQ12_2,DQ13_2,DQ14_2,DQ15_2,DQ16_2,DQ17_2,DQ18_2,DQSCORE2,TIMEDIFFDAYS
231,10-Oct-18,50,2,1,1,2,1,1,1,4,1,1,1,1,4,4,1,1,4,1,1,31,20-Nov-18,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,22,41
232,16-Oct-18,43,1,1,2,2,2,3,3,2,2,2,2,2,3,3,4,4,4,2,1,44,14-Nov-18,2,2,2,2,3,2,1,1,2,2,2,3,2,2,3,2,1,1,35,29
233,10-Oct-18,18,2,3,4,2,2,1,3,4,1,1,2,1,2,1,1,1,2,3,1,35,28-Nov-18,1,2,1,2,1,4,4,2,2,2,1,3,1,1,1,3,2,2,35,49
234,11-Oct-18,23,1,4,1,2,4,4,4,1,3,2,4,2,3,2,1,2,3,4,1,47,13-Nov-18,4,2,2,5,4,4,3,3,3,3,3,4,3,4,3,2,4,1,57,33
235,12-Oct-18,59,2,4,2,2,2,1,4,3,3,1,2,2,4,2,2,2,3,2,1,42,15-Nov-18,3,2,1,5,4,3,4,4,5,5,5,4,2,2,1,3,1,1,55,34
236,10-Oct-18,19,1,5,5,4,4,4,4,2,4,5,3,3,5,4,4,2,4,4,5,71,14-Nov-18,4,4,3,4,4,5,2,4,4,4,4,4,4,5,3,4,4,4,70,35
237,11-Oct-18,35,2,4,3,2,1,2,4,5,4,2,4,3,5,4,3,2,3,4,2,57,15-Nov-18,5,3,2,3,2,4,5,4,2,3,2,5,3,3,4,4,4,3,61,35
238,10-Oct-18,21,2,4,4,2,2,4,4,4,4,3,2,2,4,2,2,1,4,2,1,51,13-Nov-18,4,4,2,4,4,4,4,4,4,2,3,4,2,4,1,2,2,1,55,34
239,11-Oct-18,31,2,2,4,2,2,2,2,4,2,2,2,2,4,4,4,4,4,2,2,50,13-Nov-18,2,2,2,3,4,3,4,4,3,2,3,4,4,4,4,4,2,1,55,33
240,23-Oct-18,24,2,5,1,2,3,5,5,5,4,2,5,2,4,5,4,3,5,5,3,68,27-Nov-18,5,1,2,4,5,5,4,4,2,5,3,5,5,5,4,5,5,3,72,35
241,11-Oct-18,19,1,5,4,2,4,2,5,2,5,4,4,4,5,5,4,4,5,5,5,74,13-Nov-18,4,4,2,2,4,5,4,5,3,4,2,5,5,2,2,5,4,4,66,33
242,11-Oct-18,40,1,2,2,1,2,2,2,2,1,2,2,2,4,3,2,2,3,2,2,38,14-Nov-18,4,2,1,3,2,2,2,2,2,3,2,5,2,2,2,2,2,1,41,34
243,11-Oct-18,25,2,4,2,2,3,2,3,4,1,1,1,2,5,2,5,2,2,2,1,44,14-Nov-18,2,2,2,1,1,2,2,2,1,1,2,5,2,4,2,2,1,1,35,34
244,11-Oct-18,30,1,4,1,1,2,4,5,3,4,2,2,1,5,2,4,4,1,2,1,48,13-Nov-18,4,2,1,2,4,4,2,4,1,2,2,4,3,5,5,2,2,2,51,33
245,11-Oct-18,31,1,4,1,1,1,2,4,2,4,4,2,2,4,3,4,4,4,2,1,49,13-Nov-18,2,1,1,3,2,4,2,2,2,1,2,3,2,4,4,3,2,1,41,33
246,11-Oct-18,18,1,2,2,2,4,2,5,4,2,2,2,4,4,4,4,2,4,4,2,55,11-Nov-18,4,2,2,4,2,4,4,2,1,2,2,4,4,5,4,4,4,2,56,31
247,11-Oct-18,19,1,4,2,1,2,4,4,4,5,2,2,1,5,4,2,1,2,4,2,51,14-Nov-18,4,2,2,2,4,4,4,5,2,2,2,5,4,2,2,2,2,1,51,34
248,11-Oct-18,19,1,4,2,2,4,2,4,3,4,2,2,4,4,5,4,3,4,4,3,60,13-Nov-18,4,2,3,4,3,4,4,4,4,2,2,4,5,3,3,4,4,4,63,33
249,11-Oct-18,18,2,5,4,2,5,4,5,4,4,1,2,2,4,4,5,4,5,4,3,67,13-Nov-18,4,4,1,2,2,5,4,1,1,1,1,5,4,4,4,4,2,1,50,33
